City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,Santa Cruz Del Norte,23.1539,-81.9236,78.39,86,13,15.35,CU,2022-12-01 01:03:45
248,Karratha,-20.7377,116.8463,89.74,34,1,8.95,AU,2022-12-01 01:03:46
249,Parana,-31.732,-60.5238,78.55,62,100,15.28,AR,2022-12-01 01:03:46
250,Kudahuvadhoo,2.6708,72.8944,80.1,67,34,3.51,MV,2022-12-01 01:03:47
251,Eastbourne,50.7687,0.2845,46.09,94,45,7.87,GB,2022-12-01 01:00:57
252,Kruisfontein,-34.0033,24.7314,62.89,86,11,1.39,ZA,2022-12-01 01:03:47
253,Souillac,-20.5167,57.5167,74.53,78,20,5.08,MU,2022-12-01 01:03:48
254,Vao,-22.6667,167.4833,79.11,80,16,6.44,NC,2022-12-01 01:03:48
255,Malinyi,-8.9333,36.1333,70.65,94,99,0.92,TZ,2022-12-01 01:03:48
256,Kirakira,-10.4544,161.9205,83.61,76,75,5.1,SB,2022-12-01 01:03:49
257,Kloulklubed,7.0419,134.2556,84.7,75,100,16.51,PW,2022-12-01 01:03:49
258,Claremore,36.3126,-95.6161,38.25,57,0,0.0,US,2022-12-01 01:02:08
259,Lahuachaca,-17.3667,-67.6667,51.22,43,77,1.5,BO,2022-12-01 01:03:50
260,Lasa,46.6166,10.7002,32.02,82,61,1.66,IT,2022-12-01 01:02:31
261,Novoagansk,61.9449,76.6625,-16.4,100,94,2.06,RU,2022-12-01 01:03:50
262,Guerrero Negro,27.9769,-114.0611,60.44,72,19,12.24,MX,2022-12-01 01:02:03
263,Lubao,14.9167,120.55,83.28,71,55,15.48,PH,2022-12-01 01:03:51
264,Benguela,-12.5763,13.4055,76.35,81,100,5.39,AO,2022-12-01 01:00:34
265,Riviere-Au-Renard,48.9957,-64.3971,34.75,86,100,31.0,CA,2022-12-01 01:03:52
266,Longyan,25.1072,117.0225,51.57,94,100,4.25,CN,2022-12-01 01:00:36
267,Austin,30.2672,-97.7431,50.34,46,0,9.22,US,2022-12-01 01:02:07
268,Port Blair,11.6667,92.75,81.27,81,100,6.4,IN,2022-12-01 01:03:52
269,Aiquile,-18.2041,-65.1807,59.58,79,42,4.97,BO,2022-12-01 01:03:53
270,Bandarbeyla,9.4942,50.8122,77.22,82,6,16.53,SO,2022-12-01 01:03:53
271,Davila,18.4726,120.5763,81.5,79,88,20.92,PH,2022-12-01 01:03:54
272,Gazli,40.1333,63.45,30.79,58,100,7.05,UZ,2022-12-01 01:03:54
273,Daru,-9.0763,143.2092,84.13,68,100,8.19,PG,2022-12-01 01:03:55
274,Sistranda,63.7256,8.834,35.56,89,100,9.17,NO,2022-12-01 01:03:55
275,Saint-Pierre,-21.3393,55.4781,73.08,64,75,5.75,RE,2022-12-01 01:03:56
276,Sao Francisco De Paula,-29.4481,-50.5836,64.04,93,100,3.58,BR,2022-12-01 01:03:56
277,Povenets,62.8487,34.8262,21.09,96,100,4.61,RU,2022-12-01 01:03:56
278,Dixon,38.4455,-121.8233,55.26,61,0,9.22,US,2022-12-01 01:04:57
279,Candido Mendes,-1.4467,-45.7167,75.56,90,48,2.68,BR,2022-12-01 01:04:57
280,Alexander City,32.944,-85.9539,49.78,37,0,9.22,US,2022-12-01 01:04:58
281,Half Moon Bay,37.4636,-122.4286,55.9,67,100,8.05,US,2022-12-01 01:04:58
282,Saint-Louis,16.3333,-15.0,75.38,16,10,10.29,SN,2022-12-01 01:04:58
283,Murray Bridge,-35.1167,139.2667,69.33,39,6,9.73,AU,2022-12-01 01:00:36
284,Mackenzie,55.2999,-123.1698,-6.54,80,100,9.42,CA,2022-12-01 01:00:30
285,Bafq,31.6128,55.4107,51.91,44,34,0.72,IR,2022-12-01 01:04:59
286,Chapais,49.7834,-74.8492,26.38,98,100,12.62,CA,2022-12-01 01:05:00
287,Ornskoldsvik,63.2909,18.7153,31.15,100,100,2.3,SE,2022-12-01 01:05:00
